Error;weight_eco;weight_env;weight_cof;weight_soc;Predictions;;;;;;;
320;0.9;0.3;0.3;0.8;[   0.   62.  130.  219.  307.  412.  548.  689.  863. 1048. 1251.];;;;;;2.3;
409;0.3;0.6;0.4;0.6;[   0.   92.  178.  281.  391.  533.  688.  818.  971. 1123. 1277.];;;;;;1.9;
410;0.8;0.3;0;0.6;[   0.   51.  126.  202.  298.  395.  516.  666.  849. 1060. 1282.];;;;;;1.7;
544;0.8;0.6;0.4;0.9;[   0.   67.  148.  236.  328.  450.  570.  683.  813.  960. 1119.];;;;;;2.7;
760;0.6;0.6;0.4;0.8;[  0.  61. 139. 219. 301. 384. 486. 589. 718. 843. 963.];;;;;;2.4;
1050;0.2;0.5;0.3;0.5;[  0.  60. 138. 219. 288. 371. 447. 527. 645. 726. 825.];;;;;;1.5;
1063;0.4;0.5;0.3;0.6;[  0.  56. 120. 198. 272. 342. 434. 513. 620. 717. 835.];;;;;;1.8;
1252;0.9;0.6;0.1;0.7;[   0.  118.  233.  360.  500.  671.  858. 1061. 1302. 1520. 1795.];;;;;;2.3;
1999;0.6;0.7;0;0.7;[  0.  77. 142. 190. 248. 306. 356. 399. 442. 517. 563.];;;;;;2;
2006;0.2;0.9;0.2;0.6;[  0.  69. 129. 174. 233. 295. 348. 394. 466. 517. 563.];;;;;;1.9;
2035;0.5;0.7;0.2;0.7;[  0.  43.  82. 130. 194. 246. 310. 369. 436. 493. 559.];;;;;;2.1;
2160;0.9;0.8;0.1;0.7;[   0.  146.  307.  494.  685.  868. 1085. 1331. 1561. 1786. 2042.];;;;;;2.5;
2331;0.3;0.2;0.2;0.4;[  0.  24.  53.  87. 123. 177. 221. 279. 331. 409. 483.];;;;;;1.1;
4786;0.9;0.9;0.3;0.7;[   0.  221.  451.  702.  969. 1241. 1518. 1801. 2119. 2380. 2677.];;;;;;2.8;
5687;0.8;0.5;0;0.9;[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];;;;;;2.2;
5687;0.5;0.8;0;0.9;[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];;;;;;2.2;
5687;0.7;0;0.5;0.8;[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];;;;;;2;
5687;0;0.7;0.2;0.9;[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];;;;;;1.8;
5687;0.1;0;0;0.2;[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];;;;;;0.3;
5687;0.2;0;0;0.5;[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];;;;;;0.7;
5687;0.8;0;0;0.6;[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];;;;;;1.4;
5687;0;0.1;0.1;0.9;[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];;;;;;1.1;
5687;0.3;0;0.1;0.3;[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];;;;;;0.7;
9531;0.8;0.8;0.5;0.7;[   0.  340.  687. 1084. 1454. 1811. 2170. 2500. 2807. 3095. 3399.];;;;;;2.8;
14994;0.3;0.2;0.7;0.6;[   0.  442.  883. 1377. 1866. 2378. 2860. 3302. 3671. 4007. 4310.];;;;;;1.8;
;;;;;;;;;;;;
mean;3873;;;;;;;;;;;
median;2331;;;;;;;;;;;
Stdev;3358;;;;;;;;;;;
Top 5 best;;;;;;;0.38;0.23;0.10;0.67;;1.38
;Eco;Env;Cof;Soc;Sum;;;;;;;
;0.68;0.48;0.3;0.74;2.2;;2.1;;;;;
Top 5 worst;;;;;;;;;;;;
;0.44;0.22;0.28;0.62;1.56;;;;;;;
All;;;;;;;;;;;;
;0.51;0.45;0.21;0.66;1.84;;;;;;;
