,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Dantumadiel,187,322,417,503,591,715,977,1360,2344,3228,4126
Druten,62,150,218,292,398,577,841,1138,1634,2167,2875
Eersel,109,232,312,397,481,624,874,1270,1714,2422,3054
Enkhuizen,66,165,221,266,357,487,693,950,1145,1400,1829
Hardinxveld-Giessendam,0,107,209,274,343,439,579,1390,1913,2452,3158
Heerde,68,166,400,479,562,688,841,1158,1609,2002,2580
Meerssen,148,270,380,553,744,913,1176,1556,2181,2644,3249
Midden-Delfland,94,220,324,483,708,975,1387,1619,1962,2246,3072
Oirschot,77,161,225,298,386,529,710,988,1460,1942,2456
Olst-Wijhe,160,311,491,803,987,1197,1556,1896,2425,2889,3407
Ommen,200,313,405,544,630,796,1005,1293,1621,2108,2647
Someren,59,192,275,359,493,760,1142,1617,2133,2673,3479
Westerveld,141,296,427,920,1138,1706,2263,2717,3045,3440,4023
